Readname	Taxonomic_Path	Score	Forward_Mismatch	Reverse_Mismatch	Tree_Number	Node_Number
KP857443.1_0	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-162.119839	8.000000	0.000000	1	13
KP857443.1_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-42.749970	7.000000	0.000000	1	13
KP857443.1_2	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-66.911193	11.000000	0.000000	1	13
KP857443.1_3	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-81.219800	14.000000	0.000000	1	13
KP857443.1_4	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-64.138604	11.000000	0.000000	1	13
KP857443.1_5	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-52.751140	9.000000	0.000000	1	13
KP857443.1_6	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-58.444872	10.000000	0.000000	1	13
KP857443.1_7	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-41.363675	7.000000	0.000000	1	13
KP857443.1_8	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-41.363675	7.000000	0.000000	1	13
KP857443.1_9	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-150.732375	6.000000	0.000000	1	13
KP857443.1_10	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-179.201036	11.000000	0.000000	1	13
KP857443.1_11	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-68.000378	9.000000	0.000000	1	13
KP857443.1_12	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-69.832336	12.000000	0.000000	1	13
KP857443.1_13	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-58.444872	10.000000	0.000000	1	13
KP857443.1_14	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-52.751140	9.000000	0.000000	1	13
KP857443.1_15	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-47.057407	8.000000	0.000000	1	13
KP857443.1_16	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-64.138604	11.000000	0.000000	1	13
KP857443.1_17	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-52.751140	9.000000	0.000000	1	13
KP857443.1_18	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-72.010706	8.000000	0.000000	1	13
KP857443.1_19	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-147.167711	10.000000	0.000000	1	13
KP857443.1_20	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-64.138604	11.000000	0.000000	1	13
KP857443.1_21	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-87.557053	10.000000	0.000000	1	13
KP857443.1_22	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-47.057407	8.000000	0.000000	1	13
KP857443.1_23	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-78.942178	8.000000	0.000000	1	13
KP857443.1_24	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-86.022204	9.000000	0.000000	1	13
KP857443.1_25	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-52.751140	9.000000	0.000000	1	13
KP857443.1_26	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-52.751140	9.000000	0.000000	1	13
KP857443.1_27	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-41.363675	7.000000	0.000000	1	13
KP857443.1_28	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-111.916133	6.000000	0.000000	1	13
KP857443.1_29	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-47.057407	8.000000	0.000000	1	13
KP857443.1_30	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-41.363675	7.000000	0.000000	1	13
KP857443.1_31	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-124.838446	9.000000	0.000000	1	13
KP857443.1_32	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-97.112559	9.000000	0.000000	1	13
KP857443.1_33	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-47.057407	8.000000	0.000000	1	13
KP857443.1_34	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-64.138604	11.000000	0.000000	1	13
KP857443.1_35	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-52.751140	9.000000	0.000000	1	13
KP857443.1_36	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-114.045201	11.000000	0.000000	1	13
KP857443.1_37	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-98.350299	8.000000	0.000000	1	13
KP857443.1_38	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-105.430325	9.000000	0.000000	1	13
KP857443.1_39	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-64.138604	11.000000	0.000000	1	13
KP857443.1_40	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-118.055529	10.000000	0.000000	1	13
KP857443.1_41	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-69.832336	12.000000	0.000000	1	13
KP857443.1_42	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-105.281771	8.000000	0.000000	1	13
KP857443.1_43	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-113.896646	10.000000	0.000000	1	13
KP857443.1_44	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-173.507304	10.000000	0.000000	1	13
KP857443.1_45	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-64.138604	11.000000	0.000000	1	13
KP857443.1_46	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-127.908145	11.000000	0.000000	1	13
KP857443.1_47	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-140.681903	13.000000	0.000000	1	13
KP857443.1_48	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-75.526068	13.000000	0.000000	1	13
KP857443.1_49	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-132.067028	11.000000	0.000000	1	13
KP857443.1_50	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-52.751140	9.000000	0.000000	1	13
KP857443.1_51	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-146.227081	13.000000	0.000000	1	13
KP857443.1_52	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-179.201036	11.000000	0.000000	1	13
KP857443.1_53	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-179.201036	11.000000	0.000000	1	13
KP857443.1_54	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-58.444872	10.000000	0.000000	1	13
KP857443.1_55	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-69.832336	12.000000	0.000000	1	13
KP857443.1_56	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-86.913532	15.000000	0.000000	1	13
KP857443.1_57	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-64.138604	11.000000	0.000000	1	13
KP857443.1_58	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-98.795963	11.000000	0.000000	1	13
KP857443.1_59	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-213.363429	17.000000	0.000000	1	13
KP857443.1_60	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-96.171929	12.000000	0.000000	1	13
KP857443.1_61	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-81.219800	14.000000	0.000000	1	13
KP857443.1_62	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-64.138604	11.000000	0.000000	1	13
KP857443.1_63	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-174.250077	15.000000	0.000000	1	13
KP857443.1_64	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-107.559393	14.000000	0.000000	1	13
KP857443.1_65	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-69.832336	12.000000	0.000000	1	13
KP857443.1_66	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-75.526068	13.000000	0.000000	1	13
KP857443.1_67	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-92.013046	12.000000	0.000000	1	13
KP857443.1_68	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-198.262745	18.000000	0.000000	1	13
KP857443.1_69	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-182.567843	15.000000	0.000000	1	13
KP857443.1_70	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-93.547895	13.000000	0.000000	1	13
