Readname	Taxonomic_Path	Score	Forward_Mismatch	Reverse_Mismatch	Tree_Number	Node_Number
KP857443.1_33_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-156.745869	11.000000	16.000000	6	13
KP857443.1_32_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-249.181927	6.000000	18.000000	6	13
KP857443.1_31_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-217.445711	10.000000	15.000000	6	13
KP857443.1_30_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-250.568221	9.000000	15.000000	6	13
KP857443.1_29_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-260.569391	9.000000	17.000000	6	13
KP857443.1_28_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-204.523398	8.000000	14.000000	6	13
KP857443.1_27_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-254.727104	9.000000	15.000000	6	13
KP857443.1_26_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-149.368733	10.000000	14.000000	6	13
KP857443.1_25_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-133.673831	8.000000	13.000000	6	13
KP857443.1_24_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-167.242005	10.000000	13.000000	6	13
KP857443.1_23_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-182.936907	8.000000	18.000000	6	13
KP857443.1_22_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-164.469416	10.000000	13.000000	6	13
KP857443.1_21_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-156.745869	12.000000	15.000000	6	13
KP857443.1_20_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-161.696827	10.000000	13.000000	6	13
KP857443.1_19_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-346.816751	11.000000	17.000000	6	13
KP857443.1_18_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-275.967184	11.000000	16.000000	6	13
KP857443.1_17_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-161.845382	10.000000	14.000000	6	13
KP857443.1_16_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-133.970940	7.000000	16.000000	6	13
KP857443.1_15_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-156.745869	11.000000	16.000000	6	13
KP857443.1_14_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-166.004265	11.000000	13.000000	6	13
KP857443.1_13_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-232.694949	12.000000	13.000000	6	13
KP857443.1_12_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-162.439601	15.000000	13.000000	6	13
KP857443.1_11_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-226.258443	8.000000	11.000000	6	13
KP857443.1_10_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-218.089232	9.000000	11.000000	6	13
KP857443.1_9_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-261.510021	6.000000	17.000000	6	13
KP857443.1_8_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-168.628299	8.000000	15.000000	6	13
KP857443.1_7_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-122.583476	9.000000	12.000000	6	13
KP857443.1_6_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-116.889744	8.000000	12.000000	6	13
KP857443.1_5_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-139.664672	10.000000	14.000000	6	13
KP857443.1_4_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-151.398548	8.000000	11.000000	6	13
KP857443.1_3_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-243.339640	9.000000	13.000000	6	13
KP857443.1_2_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-229.031032	9.000000	10.000000	6	13
KP857443.1_1_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-166.202122	8.000000	8.000000	6	13
KP857443.1_0_1	Eukaryota;Chaetognatha;Sagittoidea;Aphragmophora;Sagittidae;Sagitta;Sagitta elegans	-122.583476	11.000000	10.000000	6	13
